Combinations,Mean Squared Error,Mean Absolute Error
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07122793602686715,0.16709837062637295
"['SJR', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07123479797069325,0.16810779679962154
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07126749706111249,0.16803366429459074
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0712794506150526,0.16694708481294673
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07130071376109944,0.16626241666552793
"['SJR', 'Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07133539245479609,0.16727411620260998
"['SJR', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07135061928134265,0.1681497209742968
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0713774282071133,0.16667473063364108
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07145200702398952,0.16730559395468358
"['SJR', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07153083653094378,0.16959973625100372
"['SJR', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07172139760313834,0.166695082508593
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07172474532244948,0.16715911722545235
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07185615834119549,0.16749519897751147
"['SJR', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07195279546927327,0.16747742495290036
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07206452431167479,0.16646307328445248
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07213037947920799,0.16933980371562346
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07217629980863205,0.16646730224564146
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0721959332698472,0.16706481084085287
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07246019838913767,0.16953224678899184
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07248760493489044,0.16973154612920685
"['SJR', 'H index', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07277420189200168,0.17206209666837724
"['SJR', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07299278989315422,0.17187136891436386
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07329642952851327,0.16859441942344958
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07343518400108925,0.17091900854665465
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0736134597340746,0.17026517004860522
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07373000008135593,0.17000677063457958
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07401784199562536,0.16931591280781308
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07627276541258628,0.16958320413746952
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']",0.0765710624121433,0.17077520948637373
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07680651610550426,0.16948744219398104
"['SJR', 'H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)']",0.0768322324343249,0.17058755639727763
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07698819541139552,0.17053394321358684
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07700418380085144,0.17036683470791814
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07707317498259354,0.17379098560273584
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07707939007036538,0.1677985522504984
"['SJR', 'H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07725168114914166,0.17079598207766378
"['SJR', 'H index', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07727913806091383,0.1707771185546021
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07750419551075816,0.17444846553711482
"['SJR', 'H index', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07755459130453554,0.1705802213273746
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07760249424768431,0.16907453819584595
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07770808455577022,0.17075542537422214
